Recipient,Funding $,Description
Apitipi Anicinapek Nation,50000,"Purchase a generator and communication equipment, including a muster point for the existing radio tower, to enhance the emergency services department."
Batchewana First Nation,33232,"Purchase and install a generator to help protect isolated community members during emergencies, such as power outages and extreme cold."
Beausoleil First Nation,50000,Purchase decontamination supplies and an enclosed trailer to mitigate the effects of hazardous material incidents in their community and in three others under a mutual aid agreement. 
Chippewas of Rama First Nation,42722,"Purchase a skid steer attachment, sandbags and other supplies to prepare for annual flooding."
City of Niagara Falls,50000,Purchase and install a generator for a rural fire station to allow for the continuation of services during power outages. 
Corporation de la Municipalité de La Nation,49558,"Purchase emergency response equipment including a trailer and chainsaws to clear debris, manage damaged infrastructure and assist with recovery when emergencies happen. Training will also be delivered to ensure the safe operation of new equipment. "
Corporation of the City of Cornwall,41000,"Purchase a drone, upgrade the incident command post, create public education materials and conduct staff training to improve emergency preparedness."
Corporation of the City of Orillia,50000,"Purchase a drone, trailers and an open pump to address flooding challenges in the area. "
Corporation of the City of Sault Ste. Marie,49720,"Develop an emergency social services strategy to respond to emergency situations for critical infrastructure failure, flood and heat events. The plan will align with the city's emergency response plan. Training on the plan will also be provided."
Corporation of the City of Temiskaming Shores,20890,"Purchase wildland firefighting equipment to complement their off-road response unit and forestry trailer including a generator, forestry hoses and backpack pumps."
Corporation of the County of Brant,49774,"Purchase a sandbagging machine, trailer and a radar monitoring gauge to assess river water levels to improve flood response in urban and rural areas."
Corporation of the County of Northumberland,50000,Purchase generators and supporting equipment for the County Works Yard. Training will be delivered to ensure the safe operation of new equipment.
Corporation of the County of Peterborough,49997,Create a mobile emergency centre equipped with a generator and heating and cooling pumps. This is a collaboration with eight other municipalities and First Nations communities.
Corporation of the Municipality of Bayham,50000,"Purchase a trailer equipped with emergency supplies including chainsaws, signage, spill kits, radios and a sandbagging machine to better respond to annual flooding in the municipality. "
Corporation of the Municipality of Kincardine,50000,Purchase drones to better assess damage after tornadoes and conduct training to ensure the safe and effective operation of new equipment. 
Corporation of the Municipality of Leamington,48855,"Purchase chainsaws and shore-based rescue equipment including an inflatable boat, ropes, rescue slings and other supplies. Purchase public education materials to increase emergency preparedness, and procure technical expertise to update their emergency management plan and conduct training. "
Corporation of the Municipality of Magnetawan,48385,"Purchase a backup generator to provide continuous power for the local emergency operations centre, communications equipment and drones to enhance surveillance capabilities."
Corporation of the Municipality of McDougall,9750,Purchase a new drone to assist in wildland fire response and search and rescue efforts.
Corporation of the Municipality of Mississippi Mills,49262,"Purchase trailers and essential traffic control equipment to safely manage road closures due to floods, windstorms and other severe weather events."
Corporation of the Municipality of Red Lake,50000,Update their current emergency management plan to better prepare the municipality for severe weather events and other emergencies.
Corporation of the Municipality of Shuniah,50000,"Purchase and install generators for their firehalls, ensuring residents can shelter and access power during outages and storms."
Corporation of the Municipality of Sioux Lookout,50000,Purchase a sandbagging machine and sandbags to better prepare for and respond to flooding events in the community.
Corporation of the Municipality of Southwest Middlesex,48920,"Purchase a generator for their emergency operations centre to enable faster and more coordinated emergency responses, and ensure community members can access power during outages."
Corporation of the Municipality of St.-Charles,48775,Upgrade their radio systems to improve communication during wildland fires.
Corporation of the Town of Bradford West Gwillimbury,35981,"Purchase an emergency notification system to better inform the public during emergency situations, as well as drones to survey damage from weather events. This project is a partnership with the South Simcoe Police Service."
