Ambulance Service Coverage Area,Reporting Year,Population Estimate,Land Area (km2),Population Density (Per km2),Average Response Time
Algoma,2023,43385,48587,0.9,11 min 46 sec
Beausoleil First Nation,2023,644,52,12.3,8 min 45 sec
Brant,2023,149210,936,159.4,7 min 56 sec
Bruce,2023,75409,4093,18.4,11 min 12 sec
Chatham-Kent,2023,107923,2471,43.7,7 min 25 sec
Chippewas of Rama First Nation,2023,922,11,86.2,6 min 31 sec
Cochrane,2023,75821,140566,0.5,7 min 14 sec
Cornwall,2023,119413,3309,36.1,10 min 2 sec
Dufferin,2023,69391,1486,46.7,7 min 41 sec
Durham,2023,727328,2524,288.2,8 min 10 sec
Elgin,2023,97968,1881,52.1,7 min 51 sec
Essex,2023,426246,1851,230.3,7 min 58 sec
Frontenac,2023,164005,3788,43.3,8 min 46 sec
Grey,2023,103209,4513,22.9,8 min 4 sec
Wellington,2023,247285,2660,92.9,7 min 46 sec
Haldimand,2023,51788,1257,41.2,8 min 56 sec
Haliburton,2023,19719,4072,4.8,13 min 18 sec
Halton,2023,619075,964,642.2,TBD
Hamilton,2023,587192,1117,525.6,7 min 41 sec
Hastings,2023,147751,6103,24.2,10 min 10 sec
Huron,2023,63912,3400,18.8,9 min 22 sec
Kawartha Lakes,2023,82401,3083,26.7,10 min 32 sec
Kenora,2023,66987,406834,0.2,14 min 56 sec
Lambton (Urban),2023,132611,3002,44.2,7 min 19 sec
Lanark,2023,75625,3034,24.9,10 min 5 sec
Leeds and Grenville,2023,105924,3384,31.3,10 min 1 sec
Lennox and Addington,2023,45729,2841,16.1,10 min 56 sec
Manitoulin-Sudbury,2023,36282,43313,0.8,14 min 25 sec
Middlesex,2023,513771,3295,155.9,7 min 3 sec
Muskoka,2023,67771,3938,17.2,10 min 3 sec
Naotkamegwanning First Nations (Whitefish Bay),2023,611,19,32.6,10 min 17 sec
Niagara,2023,484840,1854,261.5,TBD
Nipissing,2023,87652,17104,5.1,8 min 29 sec
Norfolk,2023,70461,1608,43.8,8 min 23 sec
Northumberland,2023,91027,1905,47.8,9 min 39 sec
Oneida Nation of the Thames,2023,1343,22,60.6,8 min 11 sec
Ottawa,2023,1054800,2790,378,8 min 58 sec
Oxford,2023,124936,2040,61.3,7 min 22 sec
Parry Sound,2023,45358,9323,4.9,13 min 17 sec
Peel,2023,1571322,1247,1260.2,TBD
Perth,2023,84062,2218,37.9,7 min 5 sec
Peterborough,2023,147731,3848,38.4,8 min 35 sec
Prescott and Russell,2023,96753,2004,48.3,11 min 3 sec
Prince Edward,2023,98570,1050,93.8,12 min 37 sec
Rainy River ,2023,20865,15485,1.3,14 min 46 sec
Renfrew,2023,108102,7441,14.5,10 min 17 sec
Sault Ste. Marie,2023,74718,223,334.7,6 min 41 sec
Simcoe,2023,547137,4796,114.1,8 min 49 sec
Six Nations of the Grand River,2023,7145,188,38,10 min 7 sec
Sudbury,2023,169199,3238,52.3,7 min 48 sec
District of Thunder Bay,2023,149645,103720,1.4,10 min 1 sec
Timiskaming (Urban),2023,33328,13300,2.5,9 min 14 sec
Toronto,2023,2974293,630,4719.5,TBD
Waterloo,2023,611493,1369,446.7,7 min 18 sec
Weeneebayko Area Health Authority,2023,17500,15000,1.2,6 min 18 sec
York,2023,1209914,1762,686.6,8 min 17 sec
Algoma,2022,43385,48587,0.9,11 min 9 sec
Beausoleil First Nation,2022,644,52,12.3,12 min 7 sec
Brant,2022,149210,936,159.4,8 min 42 sec
Bruce,2022,75409,4093,18.4,11 min 12 sec
Chatham-Kent,2022,107923,2471,43.7,7 min 40 sec
Chippewas of Rama First Nation,2022,922,11,86.2,6 min 45 sec
Cochrane,2022,75821,140566,0.5,7 min 27 sec
Cornwall,2022,119413,3309,36.1,10 min 17 sec
Dufferin,2022,69391,1486,46.7,8 min 4 sec
Durham,2022,727328,2524,288.2,8 min 39 sec
Elgin,2022,97968,1881,52.1,8 min 2 sec
Essex,2022,426246,1851,230.3,8 min 11 sec
Frontenac,2022,164005,3788,43.3,9 min 3 sec
Grey,2022,103209,4513,22.9,8 min 31 sec
Wellington,2022,247285,2660,92.9,8 min 11 sec
Haldimand,2022,51788,1257,41.2,9 min 52 sec
Haliburton,2022,19719,4072,4.8,13 min 13 sec
Halton,2022,619075,964,642.2,8 min 28 sec
Hamilton,2022,587192,1117,525.6,8 min 47 sec
Hastings,2022,147751,6103,24.2,10 min 23 sec
Huron,2022,63912,3400,18.8,10 min 2 sec
Kawartha Lakes,2022,82401,3083,26.7,10 min 30 sec
